Experiment_id,Temperature,Model,Initial_cost,Orientation_price,Buyer,Answers,Obs.,Configuration,Original,Original_count
TU_1_1_1_1,0.01,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,0.5,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,1.0,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,1.5,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$10', 'The price', '$5', '$5', '$5', '$5', '$5', '$5', 'More than', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', 'Price:', '$5', '$15', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$6', '$5', '$5', '$5', ""I'll"", '$2', '7.', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$6', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$8', '$5', '$5']",95,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,2.0,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '98 dollars', 'Can |', 'Technical tools', '$5', '$7', 'Toy sher', '$5', '$5', '$8', 'I ask', '$0', '$5', '$5', '$555', '5', '$10', '$5', '$5', '$0', 'It may', 'Friend?', '$4', '$5', '$5', '$5', '$5', 'I would', '$5', '$5', '$0', 'Price:', '$5', '$10', '$5', '$5', '98.clientWidth', '$5', '(!$UN', '$5', '$5', '$5', '$8', 'no enforcement', '$5', 'The cost', 'I would', '$5', '$5', '8.', '--\n$', '$5', '$5', 'Six ç', '$8', '510', 'make Stub', 'Any price', '$5', '$2', 'More than', '$10', '$5', 'Same price', '$10', '$5', '$No', '$5', '$-content', '$5', '$5', '$5', '$5', '$5', '$4', '$5', '*$5', '581212', 'Bow493', '$5', '$Are', '$ such', '$5', '$5', '$5', '$5', '$5', '$5', '--\n$', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$', '$5', '$5']",68,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,0.01,gpt-4-1106-preview,0,5,friend,"['$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,0.5,gpt-4-1106-preview,0,5,friend,"['$5', '$0', '$0', '$5', '$0', '$5', '$0', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,1.0,gpt-4-1106-preview,0,5,friend,"['$0', '$0', '$5', '$5', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$5', '$0', '$5', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$5', '$5', '$0']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,1.5,gpt-4-1106-preview,0,5,friend,"['$0', '$0', '$5', '$5', '$0', '$5', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$5', '$5', '$0', '$5', '$5', '$5', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$5', '$5']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,2.0,gpt-4-1106-preview,0,5,friend,"['$0', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$5', '$5', '$0', '$5', '$0', '$5', '$5', '$5', '$0', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$0', '$0', '$5', '$5', '$0', '$5', '$0', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$5', '$0', '$0']",50,1,"[68, 26, 3, 6]",31
