Experiment_id,Temperature,Model,Place,Income,Answers,Obs.,Configuration
TU2_1_1_1,0.01,gpt-3.5-turbo,hotel,0,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",100,1
TU2_1_1_1,0.5,gpt-3.5-turbo,hotel,0,"['$10', '$10', '$10', '$10', '$5', '$10', '$5', '$10', '$10', '$10', '$5', '$5', '$10', '$10', '$10', '$10', '$5', '$5', '$10', '$10', '$5', '$10', '$5', '$5', '$10', '$10', '$5', '$5', '$10', '$10', '$5', '$10', '$10', '$10', '$5', '$10', '$5', '$5', '$10', '$10', '$10', '$5', '$5', '$10', '$5', '$8', '$10', '$5', '$10', '$10', '$5', '$10', '$5', '$10', '$10', '$5', '$10', '$10', '$10', '$10', '$5', '$10', '$5', '$10', '$5', '$10', '$5', '$5', '$10', '$5', '$10', '$10', '$10', '$10', '$5', '$10', '$5', '$10', '$10', '$10', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$5', '$10', '$5', '$10', '$5', '$5', '$10', '$10', '$10', '$5', '$10', '$10', '$10']",100,1
TU2_1_1_1,1.0,gpt-3.5-turbo,hotel,0,"['$5', '$10', '$5', '$10', '$5', '$10', '$10', '$5', '$10', '$10', '$5', '$5', '$10', '$10', '$5', '$10', '$7', '$5', '$10', '$5', '$10', '$10', '$10', '$5', '$5', '$10', '$8', '$5', '$10', '$5', '$5', '$5', '$5', '$10', '$5', '$10', '$10', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$10', '$10', '$10', '$7', '$10', '$10', '$10', '$5', '$5', '$7', '$4', '$10', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$10', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$5', '$7', '$10', '$10', '$5', '$8', '$10', '$10', '$5', '$6', '$10', '$5', '$10', '$5', '$10', '$5', '$10', '$8', '$10', '$10', '$10', '$10', '$10']",100,1
TU2_1_1_1,1.5,gpt-3.5-turbo,hotel,0,"['$5', '$10', '$10', '$5', '$5', '$10', '$10', '$7', '$5', '$5', '$5', '$7', '$10', '$10', '$5', '$6', '$5', '$10', '$5', '$7', '$5', '$10', '$5', '$10', '$7', '$10', '$10', '$5', '$5', '$10', '$15', '$5', '$5', '$10', '$7', '$5', '$7', '$6', '$5', '$2', '$10', '$5', '$10', '$5', '$5', '$5', '$10', '$10', '$5', '$5', '$8', '$10', '$8', '$10', '$10', '$5', '10.', '$5', '$5', '$5', '$10', '$7', '$5', '$10', '$8', '$10', '$10', '$7', '$8', '$10', '$7', '$10', '$5', '$5', '$10', '$5', '$8', '$10', '$10', '11.', '$5', '$10', '$5', '$5', '$10', '$10', '$5', '$10', '$10', '$5', '$7', '$5', '$10', '$10', '$7', '$10', '$5', '$10', '$5', '$5']",98,1
TU2_1_1_1,2.0,gpt-3.5-turbo,hotel,0,"['$10', '$10', '$5', '$5', '$10', '$5', '$10', '$10', '10.', '$5', '$5', '$5', 'Think of', '$5', '$10', '$10', '$10', '$7', '$5', '$5', '$5', '$4', '10.', '$10', '$10', '$7', '$8', '$10', '$5', '$10', '$10', '$10', '$7', '3.', '$5', '$10', '$10', '$10', '$5', '$5', '$5', '$10', '$8', '$5', '8.', '$10', '$10', '$5', '$4', '10.', '$10', '$10', '$10', '$5', '$10', '10.', '$10', '$10', '$7', '10.', ""Here's"", '$\\_', '$x.xx', '9.', '$7', '$10', '$8', '$10', '$7', '$5', '$10', '$10', '15.', '$10', '$12', '$10', '70', '$5', '$5', '$7', '$10', '$10', '$10', '14.', '$7', '$10', '$8', '5.', '$5', '$5', '9.', '$10', '$5', '$10', '$10', '$5', '$7', '10.', '$10', '$6']",84,1
TU2_2_1_1,0.01,gpt-4-1106-preview,hotel,0,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,1
TU2_2_1_1,0.5,gpt-4-1106-preview,hotel,0,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,1
TU2_2_1_1,1.0,gpt-4-1106-preview,hotel,0,"['$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,1
TU2_2_1_1,1.5,gpt-4-1106-preview,hotel,0,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$5', '$6', '$15', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$7', '$6']",50,1
TU2_2_1_1,2.0,gpt-4-1106-preview,hotel,0,"['$6', '$7', '$7', '$6', '$12', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$5', '$6', '$7', '$7', '$6', '$6', '$6', '$6', '$6', '$15', '$6', '$15', '$7', '$6', '$6', '$10', '$6', '$6', '$6', '$7', '$6', '$6', '$12', '$7', '$6', '$6', '$6', '$6', '$7', '$10', '$7', '$5', '$6', '$7', '$7']",50,1
